sport,league,event_id,event_starts_at,matchup,alt_type,market_type,market,selection,headline_side,team,player,player_id,market_id,outcome_id,line,book,price,decimal_price,implied_prob,l5_pct,l10_pct,season_pct,estimated_prob,conservative_prob,edge_pct,ev_pct,confidence_score,shadow_status,rejection_reasons,recommended_units_pre_news,portfolio_shadow_units,stable_wager_id,cap_reasons,actionable,board,scope,as_of
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,TOTAL,TEAM_PROP,TOTAL,MIL TOTAL OVER 1.5,OVER,MIL,,,aafaa7099ebdcd43d5179ccdcb51161e9f79c5a5,50106aa6835a637d6bf9bfbd00371c241824c17e,1.5,hardrock r,-325.0,1.3077,0.76471,,100.0,,0.857143,0.700218,-6.449,-8.432,82.013,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,488b3d2d3f8e214c64f3d2f237418aa9f74fbe3b,2026-08-15T01:38:00+00:00,KC @ LAA,TOTAL,TEAM_PROP,HITS,KC HITS UNDER 8.5,UNDER,KC,,,fe483d3fb9e5169a49763fd8555a2c33eabc3ff7,29e5570aa58a27a75161e56796c56e2cc2174584,8.5,Hard Rock,-150,1.6667,0.6,80.0,80.0,,0.714286,0.543686,-5.631,-9.384,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,SPREAD,GAMELINE,SPREAD,MIL +2,AWAY,MIL,,,f94d099e63f4a716463b46fd30e8804f3e71372f,88255a0137c3f89f175018bb46f54d622216d7eb,2.0,DraftKings,-193,1.5181,0.6587,80.0,88.889,,0.769232,0.594731,-6.397,-9.714,69.017,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
WNBA,WNBA,ce28e39e53f06c32668c3d703ee9067eed9ba577,2026-08-14T23:30:00+00:00,DAL @ IND,SPREAD,GAMELINE,SPREAD,DAL +13.5,AWAY,DAL,,,69cbdd05c51aa1af4414d4627da4919ef384b30b,1cc7bcdc6cdc9689d78c59c425598bce7be1dd58,13.5,Hard Rock,-230,1.4348,0.69697,80.0,90.0,,0.785714,0.619416,-7.755,-11.126,70.665,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:52:13.851220-04:00
MLB,MLB,6db6568d134f5df21219209469036a5e0afb6764,2026-08-14T23:10:00+00:00,BAL @ TB,SPREAD,GAMELINE,SPREAD,TB +1,HOME,TB,,,9ab5071dfae75d08fbe76eb8985a00ec2f42e0e7,00da081bccc0983ed79e511e25321feca14143ae,1.0,DraftKings,-232,1.431,0.6988,100.0,90.0,,0.785714,0.619416,-7.938,-11.362,73.165,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,6db6568d134f5df21219209469036a5e0afb6764,2026-08-14T23:10:00+00:00,BAL @ TB,TOTAL,TEAM_PROP,WALKS,TB WALKS OVER 2.5,OVER,TB,,,0d205e1e2099f942e90eab8012d18356b80165a8,ba1aed8d954257def3637cb468cbf0d5466cba94,2.5,DraftKings,-160,1.625,0.61538,80.0,80.0,,0.714286,0.543686,-7.169,-11.651,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,36ff8623e428995786e706503854ba8fc1c26140,2026-08-15T00:10:00+00:00,SEA @ HOU,TOTAL,TEAM_PROP,STRIKEOUTS,HOU STRIKEOUTS UNDER 8.5,UNDER,HOU,,,98a36790ce80acfadd4a3e1cdcfa40990bd68db9,ce54d19a7b4a6b2b97cee7d0a95fe4018654b099,8.5,DraftKings,-160,1.625,0.61538,100.0,80.0,,0.714286,0.543686,-7.169,-11.651,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,36ff8623e428995786e706503854ba8fc1c26140,2026-08-15T00:10:00+00:00,SEA @ HOU,TOTAL,TEAM_PROP,RUNS,SEA RUNS UNDER 4.5,UNDER,SEA,,,6f289ed81a746cadc34a996bc185176558079d49,0c2214b7df6537afe6fd53bca2af234eebf852ba,4.5,Midnite,-162,1.6173,0.61832,80.0,80.0,,0.714286,0.543686,-7.463,-12.07,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
WNBA,WNBA,2c0472374a8431b56a1ef85fed8792259c12cbb5,2026-08-15T02:00:00+00:00,PDX @ SEA,TOTAL,GAMELINE,TOTAL,PDX @ SEA TOTAL OVER 175.5,OVER,,,,16b88431d1fc228316527156a32a7938df78417a,8d835226cef9d150fcd140ab9d258e3627f1859a,175.5,Hard Rock,-165,1.6061,0.62264,80.0,80.0,,0.714286,0.543686,-7.895,-12.679,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:52:13.851220-04:00
WNBA,WNBA,ce28e39e53f06c32668c3d703ee9067eed9ba577,2026-08-14T23:30:00+00:00,DAL @ IND,SPREAD,GAMELINE,SPREAD,DAL +14.5,AWAY,DAL,,,69cbdd05c51aa1af4414d4627da4919ef384b30b,8197a384c9b88a464037ee01fb45d11bf81e9243,14.5,Hard Rock,-250,1.4,0.71429,80.0,90.0,,0.785714,0.619416,-9.487,-13.282,70.665,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:52:13.851220-04:00
